Word	Timing	Adriana	Eliana	Silas	FOMA
L	0.11			l	l
HIVER	0.25			iviʁ	ivɛʁ
DI	0.77			di	di
mille	0.92			mələ	mʎə
	0.94	milə			
huit	1.15			we	yi
cent	1.41			si~	sɛ̃
quatre	1.46				katʁə
	1.474			nonan:ta	
vingt	1.69				vĩg
dix	2.24				dix
i	2.31			i	i
mille	2.34			mələ	mʎə
huit	2.64			we	yi
cent	2.89			si~	sɛ̃
	2.915			nonant	
quatre	2.92				katʁə
vingt	3.04				vĩg
onze	3.63			ɵ~	õzə
l	4.29				l
at	4.82			la	a
feit	4.95		fe	fe	fej
un	5.16			u~	œ̃
fret	5.3	fʁe	frɛ	fʁε	fʁɛtː
moustro	5.64	mostʁo		muʃtʁ	mustʁə
Tounin	6.39	tunĩ	tunəɲ	tuni~	tunĩ
	7.23			ke	
que	7.434		ke		kə
	7.56			l	
	7.59			ij	
	7.65			di	
l	7.689				l
ére	7.719		ie		eʁə
	7.84			mələ	
di	7.93		di		di
	8.16			we	
huit	8.227				yi
	8.37			si~	
	8.41			tʁɛnt	
	8.9			no~	
cent	8.913				sɛ̃
trente	8.932				tʁɛ̃tə
neuf	9.2				nəf
s	9.46			s	
assouegnave	9.74	asuɲavə	asueɲavɛ	asuɲave	aswɛɲavə
pâs	10.37		pa		pa
	10.482			pa	
d	10.89			d	d
aveir	11.13		aveɪ	avej	avejʁ
	11.39			pasɐ	
passâ	11.535		pasa		pasa
	12.15	den sa			
dens	12.19		dɛ̃	di~	dɛ̃
sa	12.54			sa	sa
via	12.72			via	vja
an	13.11			ɑ~	ã
	13.13	aɲ sesõ			
seison	13.32		sezõ	sejzo~	sejzõ
freide	13.82		fʀed	fʁɛɪd	fʁejdə
come	14.37			comə	komə
çala	14.56			sa:la	sala
Surtot	15.435	suʁto	suʁtɵ	syʁtu	syʁto
a	16.25			o	a
janvier	16.28	janvie		ʒɑ~viʁ	ʒãvjɛʁ
on	16.84	oɲ a		əɳ	õ
at	17.04			a	a
trevolà	17.17	tʁevola	trɛvolã	tʁεvola	tʁɛvolà
	17.65			də	
	17.74	fʁet		fʁε	
de	17.749				də
fret	17.767		fʁɛtː		fʁɛtː
	18.184			kaz a	
quase	18.29				kazə
a	18.677				a
	18.72	batʁe le			
batre	18.722				batʁə
	18.735			bat	
	18.97			lə	
les	19.097				lə
dents	19.15		di	di	dɛ̃
	19.184			pə	
per	19.464				pɛʁ
des	19.67			də	də
	19.8	pe			
temperateures	20.18			tɛmpeʁaty	tɛmpɛʁatəʁə
jamis	20.89			ʓami	ʒami
beichayes	21.16		beɪʃaɪ	bejʃaj	bejʃajə
bâsses	21.68			bɐsə	basə
paré	22.03	pae	paɪ	paj	paʁe
Et	22.85			ε	ɛtː
l	23.34			l	l
est	23.37			i	ɛs
	23.41	veɲia		viɳa	
venua	23.47		veɳya		vɛ̃ya
	23.81			eto	
etot	23.834				ɛto
	24.02			ɑ~	
an	24.026				ã
sopatâ	24.19		sopata	ʃopata	sopata
de	24.67			də	də
nei	24.73		neɪ	nεj	nej
l	25.365			l	l
est	25.63		lɛ	ε	ɛs
passâ	25.74			pasɐ	pasa
un	26.05			u~	œ̃
	26.08	un momẽ			
moment	26.28		momã	moma~	momɛ̃
qu	26.51			kj	k
un	26.56			u~	œ̃
ratel	26.72	Rati	ʀati	ʁati	ʁati
beutâ	27.335		bʏta	bətɐ	bəta
per	27.85			pə	pɛʁ
dret	27.95	dʁet	dʀɛtː	dʁεt	dʁɛtː
restave	28.635	ʁestae	ʀɛstaʋɛ	ʁəstaə	ʁɛstavə
topâ	29.525		topa	topɐ	topa
complet	29.99		komplɛtː	komplεt	komplɛtː
Melignon	31.42	meliɲõ		məliɳo~	mɛliɲõ
et	32.955			ε	ɛtː
lo	33.2			lo	lo
veladzo	33.29			vəladzo	vɛladzo
protso	33.69	pʁots		pʁɤtsə	pʁotso
de	34.06			də	də
la	34.11			la	la
Barmaz	34.26	baʁma		baʁma	baʁma
sont	34.865				sõ
	35.023			sə ɪta	
itâ	35.18		eta		ita
fremä	35.37		fʁɛma	fʁεma	fʁɛmaː
per	36.035			pε	pɛʁ
quase	36.29			kaz	kazə
un	36.66			u~	œ̃
	36.72	un mes			
mels	36.804		mɛːs		mɛl
	36.81			mejs	
	37.02			εntʁ	
	37.26			lə	
entre	37.319				ɛ̃tʁə
	37.52	laventze		lavεnts	
les	37.598				lə
laventses	37.621				lavɛ̃tsə
de	38.26			də	də
Tsaboc	38.42			tsabɔk	tsabok
et	39.32			e	ɛtː
de	39.83			də	də
Nequedé	40.03	nəkədə	nekede	nekede	nɛkɛde
d	40.66			d	d
un	40.75			u~	œ̃
couté	40.88		kuti	kuti	kute
et	41.545			ε	ɛtː
çala	41.91			salə	sala
de	42.32			də	də
Changier	42.35	ʃaŋʒie		ʃa~ʒje	ʃãʒjɛʁ
et	42.99			e	ɛtː
de	43.07			də	də
Money	43.16			monej	mõɛy
de	43.6			də	də
l	43.69			l	l
atro	43.77	atʁo		atʁ	atʁə
Sont	44.765			so~	sõ
	45.44	viɲə			
vignes	45.45			viɳə	viɲə
bâs	45.65				ba
	45.72			ba	
etot	45.85			eto	ɛto
çales	46.14			sal	salə
di	46.45			di	di
Grant	46.56	ɡʁãn		gʁa~	gʁã
Clapei	46.8			kapej	klapej
en	47.645	ə̃	ã	a~	ɛ̃
face	48.19			fas	fasə
a	48.5			ɐ	a
Melignon	48.53	meliɲõ		məliɳo~	mɛliɲõ
et	49.08			ε	ɛtː
la	49.78	ɡʁusa		la	la
groussa	49.93			gʁusa	gʁusa
de	50.08			də	də
décé	50.2		dese	dese	deke
çala	50.62	cala		sala	sala
di	50.94			də	di
Tchoéris	51.02	tʃoeʁi	tʃoiʀi	tʃəejʁi	t͡ʃoeʁi
que	51.85			kε	kə
se	52.25			sε	sə
recontront	52.28	ʁekontʁõ		ʁənco~tʁo~	ʁɛkõtʁõ
bâs	53.1			ba	ba
i	53.19			i	i
tsemin	53.28	tsemĩ		tsəmi~	tsɛmĩ
Asseu	54.08			asə	asə
les	55.11			lə	lə
dzens	55.44		dzi	dzi	dzɛ̃
	55.62			so~	
sont	55.636				sõ
restayes	55.83	ʁestajə	rʏstʌj	ʁεstaj	ʁɛstajə
catchayes	56.19		katʃaj	katʃaj	kat͡ʃajə
dens	56.68		dã	da~	dɛ̃
les	56.92			lə	lə
peillos	56.95	piʎo		pidjo	pɛʎo
et	57.915		ɛ	e	ɛtː
les	58.34			lə	lə
beus	58.37			bə	bə
a	58.99			a	a
dzoure	59.46			dzuʁə	dzuʁə
la	59.76			la	la
tsaleur	60.37	tsaləʁ		tsalɵʁ	tsaləʁ
dis	60.94			di	di
bitches	61.04			bitʃ	bit͡ʃə
	62.41	muə̃			
Mouens	62.42		mwɛ̃	mui~	mwɛ̃
forteunayes	63.63	foʁtəaje	fortʏ̃aj	foʁtu~aj	foʁtə̃ajə
sont	64.27			so	sõ
itayes	64.46	etayə		etaj	itajə
les	64.81			lə	lə
bitches	64.84			bitʃə	bit͡ʃə
sarvadzes	65.04			saʁvadz	saʁvadzə
que	65.935			ke	kə
l	66.17			l	l
ant	66.26			an	ã
pati	66.42			pati	pati
inco	66.69			inko	ĩko
leur	66.93			lɵʁ	ləʁ
	66.94	leəʁ			
la	67.2			la	la
seison	67.31	sesõ		sejzo	sejzõ
Lo	68.405			lo	lo
forié	69.14	foʁie	foie	foɰje	foʁie
les	69.55			lə	lə
gardes	69.58	ɡaʁd		gaʁd	gaʁdə
l	69.92			l	l
ant	70.03			a~	ã
recoueillà	70.15	reculia		ʁəkulja	ʁɛkwɛʎà
saquinces	70.61			sakɪnsə	sakĩsə
	70.69	sakĩns			
tetes	71.18			tit	tɛtə
de	71.61			də	də
boquetin	72.23	boketĩn		bokətɩn	bokɛtĩ
	403.98	alave			
	406.89	meinã			
	408.3	recõntravə			
	413.17	vasavaents			
	419.31	preʒ			
	425.54	səmblə			
	428.94	damõ			
	432.12				
	433.96	fonʃoə̃			
	435.41	ɡus			
	435.91	pleə̃			
	436.65	e			
	438.04	distʁibuav			
	442.715	Renkə			
	444.42				
	445.18	dzoveõ			
	445.85	pekɛ			
	448.04	poun			
	448.75	vienə			
	449.13	soʁda			
	451.11	ə̃n			
	451.37	momə̃n			
	451.77	an			
	452.55	apʁotʃaj			
	453.7	dəmande			
	454.88	en			
	456.73				
	457.72	meɲotə			
	461.61	fəmːe			
	462.94	nə			
	465.94	ʁenk			
	466.16	ʁei			
	466.62	saʁdeɲə			
	470.34	fena			
	470.69	adon			
	471.39	ʁepondu			
	472.059				
	472.495	votʁə			
	476.405	solda			
	477.87	meʁə			
	482.39	ʁeponsa			
	490.54	vitoʁien			
	491.72	bateurʁ			
	492.43	derotʃa			
	493.09	ɡʁəup			
	495.18	koʁ			
	497.8	ʁei			
	499.0	Rembouʁse			
	502.43	montaɲe			
	503.95	repreis			
	504.38	parol			
	506.65	contav			
	507.43	lo			
	507.92	la			
	508.03	vulu			
	508.71	veʁə			
	508.99	tʁaalieʁ			
	509.61	lasi			
	512.73	feʃõ			
	513.4	fromadzo			
	517.19	beʁdʒe			
	518.07	pe			
	518.5	fie			
	518.94	bəte			
	519.42	baʁɛ			
	520.725	pekɛ			
	522.99	bataʎie			
	524.325	aʁa			
	526.57	əʁ			
	526.93	dʁəmi			
	529.78	ʒiʁə			
	531.27	pleã			
	532.08	cont			
	533.57	nei			
	534.1	sondʒa			
	534.76	biə̃n			
	536.42	sãn			
	536.76	frie			
	537.04	vitoriə̃			
	537.6	saʁiə			
	538.13	ɡaʁda			
	539.41	dzoː			
	539.82	lui			
	540.49	fieʁ			
	540.89	e			
	540.97	oʁɡujəs			
	541.56	aʁi			
	542.05	seʁvi			
	542.62	mesõ			
	543.03	ʁojala			
	543.81	ɡaʁd			
	546.01	sonʒeʁ out			
	546.57	diʁ			
	546.77	eto			
	547.27	avolonte			
	549.5	resõ			
	550.775	toteə̃			
	552.505	nos			
	553.01	sen			
	553.27	pa			
	553.4	anko			
	553.64	le			
	555.49	pe			
	555.88	lo			
	555.99	momã			
	561.11	batuijə			
	562.53	seʁveiʎõ			
	567.53	promeada			
desot	73.24			dezo	dɛzo
les	73.87			lə	lə
laventses	73.91			lavεnts	lavɛ̃tsə
et	74.865			ε	ɛtː
trouvà	75.36			tʁuwa	tʁuvà
bien	75.75		bjen	biεn	biɛ̃
de	76.0			də	də
cornes	76.12			koɰnə	koʁnə
de	76.55			də	də
tsamos	76.59			tsamɔʃ	tsamo
Les	77.66			Lə	lə
cornes	78.51			koɰnə	koʁnə
dis	78.85			di	di
boquetins	78.93			bokətɪn	bokɛtĩ
les	79.74			lε	lə
mandont	80.05			mandon	mãdõ
totes	80.48			totə	totə
bâs	80.74			ba	ba
i	80.94			i	i
comandement	81.03			komandəmεn	komãdɛmɛ̃
di	81.56			di	di
Distret	81.65			distʁεt	distʁɛtː
des	82.565			də	də
coups	82.85			ku	kup
vant	83.25			va~	vã
pi	83.45			pi	pi
garnir	83.58			gaʁni	gaʁniʁ
les	84.07			lə	lə
salles	84.1			salə	salə
lo	84.45			lo	lo
coridon	84.75			koʁido~	koʁidõ
et	85.53			e	ɛtː
lo	85.85			lo	lo
salon	85.95			salo~	salõ
di	86.4			di	di
tsatel	86.51		tsati	tsatil	tsati
de	86.9			d	də
Saro	86.93			sa:ʁo	saʁo
Lé	87.655			Le	le
pendues	87.98		pɛndy	pεṇdy	pɛ̃dyə
n	88.53			n	n
at	88.6			a	a
dza	88.69			dza	dza
des	88.83			də	də
centenes	88.95		sɛntẽː	sεntejj	sɛ̃tɛ̃ə
	103.18		bɛl		
	113.2		veɲaʋɛ		
	117.88		i		
	120.01		ie		
	122.97		apʀi		
	125.31		ãviõã		
	126.61		ʀotːə		
	127.28		meɪzõ		
	128.33		dondena		
	151.57		kuti		
	159.25		dʏdã		
	170.42		kuɲy		
	171.01		mũi		
	173.23		pʀɛdʒie		
	174.09		ʀɛɪ		
	177.93		fʏmalː		
	178.805		ɛviva		
	179.64		fijːɛ		
	181.07		i		
	181.82		ditõ		
	184.27		vɛʎa		
	185.23		lamaː		
	186.22		di		
	186.48		batːista		
	187.315		seŋ		
	187.84		aje		
	188.08		senty		
	196.47		aːtː		
	198.52		uetː		
	199.5		planta		
	200.2		avui		
	201.1		sy		
	203.82		ʀebʏkajə		
	207.02		dʏ		
	209.48		veɳaː		
	220.84		paʎasː		
	221.94		beʒe		
	223.18		evə		
	223.44				
	223.88		mʏdza		
	264.13		natʏʀɛl		
	379.46		sʏlyi		
	387.9		kʲɛl		
Paré	90.05			paj	paʁe
l	90.9			l	l
at	90.94			a	a
voulu	91.0			vuly	vuly
	91.22			lo	
lo	91.286				lo
Rei	91.35			ʁεj	ʁej
Victor	91.5			vitoʁ	viktoʁ
II	92.11			du	ji
que	92.535			ke	kə
lat	92.98			la	la
atsetä	93.18			atsəta	atsɛtaː
lo	93.84			lo	lo
per	93.98			pə	pɛʁ
cinquante	94.375			sənkanta	sĩkãtə
cinq	95.03			sa~	sĩq
zéro	95.4			mələ	zeʁo
livres	95.57			livʁ	livʁə
l	96.24			l	l
an	96.77			a~	ã
mille	97.04			mələ	mʎə
huit	97.29			we	yi
cent	97.59			si~	sɛ̃
soixante	97.885			e sosantə	soixãtə
neuf	98.53			no~	nəf
La	99.635			la	la
grant	100.63			gʁa~	gʁã
partia	100.83			pəʁtijə	paʁtja
vint	101.33			vən	vĩ
dis	101.78			di	di
tsasses	101.9			tsasə	tsasə
royales	102.18			ʁojal	ʁoyalə
belle	103.18			bεlʁ	bɛlə
di	104.08			di	di
Rei	104.45			ʁej	ʁej
de	104.75			d	də
ara	104.86			aʁa	aʁa
Humbert	105.42			əmbεʁə	ymbɛʁ
L	105.89			pʁəmi	l
mis	106.275				mi
surtot	106.76			syʁtu	syʁto
de	107.43			də	də
Victor	107.52			vitoʁ	viktoʁ
IL	108.16			du	il
lo	108.7			lo	lo
papa	109.12			papa	papa
de	109.46			də	də
cit	109.55			sit	ʃ
inque	109.86			ink	ĩkə
lo	110.45			lo	lo
Roi	111.355			ʁwa	ʁoi
chasseur	111.8			ʃasɵʁ	ʃasəʁ
que	112.69			kə	kə
vegnave	113.2			vəɳaə	vɛɲavə
bien	113.915			bjεn	biɛ̃
pi	114.34			pi	pi
sovent	114.47			sovε~	sovɛ̃
et	114.67			ε	ɛtː
co	115.3			so	ko
deis	115.96			dεj	dej
lo	116.2			lo	lo
mille	116.33			mələ	mʎə
huit	116.52			we	yi
cent	116.88			si~	sɛ̃
cinquante	117.01			si~nkanta	sĩkãtə
quand	117.51			kand	kãd
l	117.85				l
ére	117.88			ij	eʁə
inco	117.95			inko	ĩko
Rei	118.28			ʁεj	ʁej
de	118.44			də	də
Sardegne	118.54			saʁdεɳ	saʁdɛɲə
et	119.14			e	ɛtː
l	119.64			l	l
ére	120.01			ij	eʁə
pâs	120.28			pa	pa
inco	120.51			nko	ĩko
vevo	120.74			vεvo	vɛvo
de	121.11			də	də
la	121.16			la	la
premiere	121.33			pʁəmi	pʁɛmjɛʁə
fena	121.72			fεn	fɛ̃a
Apris	122.97			apʁi	apʁi
l	124.645			l	l
at	125.08			a	a
invionä	125.31			i~vio~a~	ĩviõaː
la	125.82			la	la
constreuchon	125.91			kostʁyʃo~	kõstʁəʃõ
dis	126.54			di	di
rottes	126.61			ʁot:	ʁottə
et	127.04			ə	ɛtː
dis	127.19			di	di
meisons	127.28			mejzon	mejzõ
de	127.69			də	də
tsasse	127.78			tsasə	tsasə
de	128.15			də	də
Dondénaz	128.33			dondenə	dõdena
di	129.0			di	di
Lauzon	129.15			ləzo~	layzõ
et	130.065			e	ɛtː
dens	130.49			di~	dɛ̃
lo	130.68			lo	lo
mille	130.79			mələ	mʎə
huit	131.0			we	yi
cent	131.26			si~	sɛ̃
soixante	131.385			sosantə	soixãtə
cinq	131.83			si~kj	sĩq
d	132.31			d	d
Orvieille	132.74			oʁvjelj	oʁvjɛʎə
en	133.83			ən	ɛ̃
Vassavarentse	133.96			vasavajεnts	vasavaʁɛ̃tsə
desot	134.67			dezo	dɛzo
la	135.02			la	la
becca	135.1			bεak	bɛkka
de	135.35			di	də
Bioula	135.46			bjula	biula
et	135.88			ε	ɛtː
p	136.06			p	p
aler	136.1			ale	alɛʁ
i	136.37			li	i
lac	136.4			lak	lak
de	136.64			de	də
Djouan	136.78			dʒua~	dʒwã
lo	137.435			lo	lo
louà	137.95			ljua	luà
destinä	138.45			dεstina	dɛstĩaː
a	139.1			a	a
devenir	139.22			dəvəni	dɛvɛ̃iʁ
la	140.125			la	la
veretabla	140.68			və:tabla	vɛʁɛtabla
Capitala	141.605			kapitala	kapitala
per	142.845			pə	pɛʁ
la	143.33			la	la
tsasse	143.43			tsasə	tsasə
di	143.77			di	di
Rei	143.93			ʁεj	ʁej
Vitor	144.13			vitoʁ	vitoʁ
Su	145.86			ʃu	sy
per	147.28			p	pɛʁ
la	147.35			la	la
comba	147.44			komba	komba
de	147.74			də	də
Rima	147.82			ʁima	ʁima
les	148.18			le	lə
reignants	148.29			ʁeɳa~	ʁejɲã
son	148.67			so	sõ
jamis	148.9			ʒami	ʒami
venus	149.23			vie~	vɛ̃y
a	149.46			a	a
la	149.55			la	la
tsasse	149.61			tsas	tsasə
mis	150.34			mi	mi
tot	151.07			to	to
lo	151.46			lo	lo
couté	151.57			kuti	kute
dis	151.87			di	di
montagnes	151.96			montaɳə	mõtaɲə
que	152.49			kes	kə
baillont	152.57			baljo~	baʎõ
su	152.95			ʃy	sy
la	153.06			la	la
Vassavarentse	153.13			vasavajεntsə	vasavaʁɛ̃tsə
Becca	154.39			bεka	bɛkka
de	155.18			də	də
Ran	155.24			ʁan	ʁã
Becca	156.04			bεka	bɛkka
de	156.29			də	də
Bioula	156.41			bju:la	biula
Mont	157.305			mo~	mõ
Roletta	157.74			ʁolεt:a	ʁolɛtta
sont	158.695			so~	sõ
dedens	159.25			dəda~	dɛdɛ̃
	159.5			la	
la	159.561				la
Reserva	159.64			ʁəzεʁb	ʁɛzɛʁva
les	160.645			lə	lə
bitches	161.23			bitʃə	bit͡ʃə
se	161.66			sə	sə
tramont	161.8			tʁamo~	tʁamõ
d	162.28			d	d
un	162.34			ə	œ̃
couté	162.41			kuti	kute
a	162.85			a	a
l	163.135			l	l
atro	163.56			atʁ	atʁə
et	163.92				ɛtː
les	163.98				lə
gardes	164.01				gaʁdə
etot	164.36				ɛto
sovent	164.73				sovɛ̃
vegnont	165.29				vɛɲõ
tramouâs	165.7				tʁamwa
d	166.39				d
an	166.61				ã
comba	166.76				komba
a	167.24				a
l	167.37				l
atra	167.4				atʁa
Tounin	168.395				tunĩ
l	169.37				l
ayet	169.81				ajɛtː
cougnu	170.42				kuɲy
nen	170.68				nɛ̃
un	170.85				œ̃
moué	171.01				mwe
de	171.24				də
cices	171.36				ʃsə
gardes	171.54				gaʁdə
et	172.31				ɛtː
sentu	172.69				sɛ̃ty
sovent	173.08				sovɛ̃
predjier	173.23				pʁɛdʒjɛʁ
di	173.93				di
Rei	174.09				ʁej
et	174.51				ɛtː
de	174.6				də
ses	174.69				sə
pachons	174.79				paʃõ
per	175.37				pɛʁ
la	175.47				la
tsasse	175.55				tsasə
et	176.04				ɛtː
per	176.47				pɛʁ
les	177.48				lə
females	177.93				fɛmalə
evviva	178.805				ɛvviva
le	179.56				lə
fije	179.64				fiʒə
dijant	180.07				diʒã
que	180.74				kə
l	180.98				l
ére	181.07				eʁə
un	181.24				œ̃
de	181.4				də
ses	181.54				sə
ditons	181.82				ditõ
et	183.07				ɛtː
lo	183.84				lo
long	184.02				lõg
dis	184.18				di
veillàs	184.27				vɛʎà
lamave	185.23				lamavə
dire	186.22				diʁə
a	186.4				a
Batista	186.48				batista
cen	187.315				sɛ̃
que	187.69				kə
l	187.75				l
ayet	187.84				ajɛtː
sentu	188.08				sɛ̃ty
sent	188.44				sɛ̃
conter	188.47				kõtɛʁ
a	188.9				a
son	188.96				sõ
tor	189.24				toʁ
Batista	190.32				batista
dens	191.905				dɛ̃
cit	192.3				ʃ
long	192.49				lõg
hiver	192.69				ivɛʁ
l	193.09				l
ayet	193.42				ajɛtː
avu	194.25				avy
preu	194.59				pʁə
temps	194.76				tɛmp
per	194.94				pɛʁ
l	195.04				l
interrodjier	195.07				ĩtɛrodʒjɛʁ
su	195.7				sy
cit	195.79				ʃ
Rei	195.88				ʁej
hât	196.47				a
pâs	196.95				pa
depi	197.2				dɛpi
qu	197.52				k
un	197.61				œ̃
metre	197.8				mɛtʁə
et	198.04				ɛtː
cinquante	198.15				sĩkãtə
et	198.46				ɛtː
huet	198.52				yɛtː
bien	199.115				biɛ̃
plantâ	199.5				plãta
avouì	200.2				avuì
la	200.53				la
barba	200.61				baʁba
su	201.1				sy
lo	201.24				lo
menton	201.32				mɛ̃tõ
et	202.225				ɛtː
des	202.71				də
londzes	202.76				lõdzə
mostatses	203.22				mostatsə
rebecayes	203.82				ʁɛbɛkajə
Te	204.67				tə
sâs	205.45				sa
Batista	205.71				batista
lat	206.635				la
deut	207.02				də
Tounin	207.19				tunĩ
lo	208.06				lo
Rei	208.67				ʁej
Vitor	208.8				vitoʁ
quand	209.24				kãd
vegnave	209.48				vɛɲavə
a	209.76				a
la	209.79				la
tsasse	209.86				tsasə
l	210.71				l
ére	211.17				eʁə
bien	211.28				biɛ̃
a	211.51				a
la	211.57				la
bona	211.65				bõa
lo	212.54				lo
garda	213.1				gaʁda
Dayné	213.42				dajne
de	213.8				də
Rovenaud	213.86				ʁovɛ̃ayd
de	214.42				də
Ouhaentse	214.47				uaɛ̃tsə
Vassavarentse	215.59				vasavaʁɛ̃tsə
me	216.88				mə
contave	216.96				kõtavə
que	217.325				kə
su	217.58				sy
i	218.03				i
camp	218.21				kamp
	218.323			kam	
d	218.58				d
Orvieille	218.61				oʁvjɛʎə
drumave	219.44				dʁymavə
liu	220.2				ljy
etot	220.33				ɛto
su	220.6				sy
an	220.73				ã
paillasse	220.84				paʎasə
beijet	221.94				bejʒɛtː
bien	222.87				biɛ̃
d	223.12				d
éve	223.18				evə
et	223.44				ɛtː
mindzave	223.88				mĩdzavə
sovent	224.65				sovɛ̃
de	225.04				də
seupa	225.08				səpa
refreidia	225.44				ʁɛfʁejdja
surtot	226.37				syʁto
de	226.89				də
seupa	226.98				səpa
is	227.3				i
ognons	227.5				oɲõ
et	227.94				ɛtː
feisous	228.05				fejzu
apris	228.825				apʁi
de	229.97				də
neit	230.3				nej
ronfave	231.145				ʁõfavə
et	232.16				ɛtː
petave	232.975				pɛtavə
liu	234.21				ljy
etot	234.41				ɛto
come	234.67				komə
nos	234.87				no
Ah	235.455				a
ah	236.27				a
ah	236.41				a
et	236.5				ɛtː
l	236.56				l
aret	236.95				aʁɛtː
ti	237.57				ti
mindjà	237.68				mĩdʒà
todzor	238.615				todzoʁ
de	239.665				də
tseur	239.9				tsəʁ
de	240.21				də
boquetin	240.25				bokɛtĩ
Vouah	241.49				vwa
a	242.875				a
liu	243.43				ljy
la	243.58				la
fei	243.7				fej
interesoont	243.86				ĩtɛʁɛzoõ
moque	244.52				mokə
les	244.73				lə
cornes	244.9				koʁnə
les	245.83				lə
tsasser	246.24				tsasɛʁ
et	246.73				ɛtː
les	247.16				lə
fére	247.51				feʁə
porter	247.69				poʁtɛʁ
eh	249.07				ə
eh	249.13				ə
l	249.485				l
est	249.86				ɛs
intervenu	249.96				ĩtɛʁvɛ̃y
Vitorien	250.825				vitoʁiɛ̃
en	251.68				ɛ̃
rient	251.74				ʁiɛ̃
Liu	251.8				ljy
etot	252.925				ɛto
l	254.2				l
ayet	254.23				ajɛtː
